id,frase,autor
303,O perdão é o maior presente que você pode dar a si mesmo.,"Robin Sharma, O Monge que Vendeu sua Ferrari"
304,O propósito da vida é servir aos outros.,"Robin Sharma, O Monge que Vendeu sua Ferrari"
305,O silêncio é a linguagem da alma.,"Robin Sharma, O Monge que Vendeu sua Ferrari"
306,A disciplina é a ponte entre os objetivos e a realização.,"Robin Sharma, O Monge que Vendeu sua Ferrari"
307,O pensamento é a força mais poderosa do universo.,"Napoleon Hill, Quem Pensa Enriquece"
308,A imaginação é a oficina onde todos os planos são criados.,"Napoleon Hill, Quem Pensa Enriquece"
309,O desejo ardente é o primeiro passo para a riqueza.,"Napoleon Hill, Quem Pensa Enriquece"
310,A persistência é o que transforma o desejo em realidade.,"Napoleon Hill, Quem Pensa Enriquece"
311,"A mente não tem limites, exceto aqueles que nós mesmos impomos.","Napoleon Hill, Quem Pensa Enriquece"
312,O fracasso temporário não é uma derrota permanente.,"Napoleon Hill, Quem Pensa Enriquece"
313,O conhecimento especializado é a chave para o sucesso.,"Napoleon Hill, Quem Pensa Enriquece"
314,O caráter é o alicerce de todo sucesso verdadeiro.,"Stephen Covey, Os 7 Hábitos das Pessoas Altamente Eficazes"
315,A proatividade é a chave para o controle da sua vida.,"Stephen Covey, Os 7 Hábitos das Pessoas Altamente Eficazes"
316,O fim em mente é o que guia as suas ações diárias.,"Stephen Covey, Os 7 Hábitos das Pessoas Altamente Eficazes"
317,A sinergia é o resultado de valorizar as diferenças.,"Stephen Covey, Os 7 Hábitos das Pessoas Altamente Eficazes"
318,O primeiro passo para a compreensão é ouvir com empatia.,"Stephen Covey, Os 7 Hábitos das Pessoas Altamente Eficazes"
319,A renovação contínua é essencial para o crescimento a longo prazo.,"Stephen Covey, Os 7 Hábitos das Pessoas Altamente Eficazes"
320,A independência é um pré-requisito para a interdependência.,"Stephen Covey, Os 7 Hábitos das Pessoas Altamente Eficazes"
321,A dor emocional é um sinal de que algo precisa mudar.,"Mark Manson, A Sutil Arte de Ligar o F*da-se"
322,A responsabilidade é o primeiro passo para a liberdade.,"Mark Manson, A Sutil Arte de Ligar o F*da-se"
323,O fracasso é o caminho a seguir.,"Mark Manson, A Sutil Arte de Ligar o F*da-se"
324,A rejeição torna a vida melhor.,"Mark Manson, A Sutil Arte de Ligar o F*da-se"
325,O compromisso nos dá liberdade porque nos impede de nos distrairmos com o que não é importante.,"Mark Manson, A Sutil Arte de Ligar o F*da-se"
326,"Escolha seus problemas, pois você terá que resolvê-los.","Mark Manson, A Sutil Arte de Ligar o F*da-se"
327,"A autoconsciência é como uma cebola; quanto mais camadas você descasca, mais você chora.","Mark Manson, A Sutil Arte de Ligar o F*da-se"
328,"Não rir, não chorar, não odiar, mas compreender.","Baruch Spinoza, Tratado Político"
329,"A emoção, que é um sofrimento, deixa de ser sofrimento logo que formamos dela uma ideia clara e distinta.","Baruch Spinoza, Ética"
330,Aqueles que são governados pela razão não desejam para si nada que não desejem para o resto da humanidade.,"Baruch Spinoza, Ética"
331,A alegria é a passagem do homem de uma perfeição menor para uma maior.,"Baruch Spinoza, Ética"
332,A tristeza é a passagem do homem de uma perfeição maior para uma menor.,"Baruch Spinoza, Ética"
333,O desejo é a própria essência do homem.,"Baruch Spinoza, Ética"
334,Tudo o que é excelente é tão difícil quanto raro.,"Baruch Spinoza, Ética"
335,A liberdade humana consiste apenas nisto: que os homens estão conscientes de seus desejos e ignorantes das causas que os determinam.,"Baruch Spinoza, Ética"
336,"O homem livre em nada pensa menos do que na morte, e sua sabedoria é uma meditação não sobre a morte, mas sobre a vida.","Baruch Spinoza, Ética"
337,"Na medida em que a mente entende todas as coisas como necessárias, ela tem um poder maior sobre as emoções.","Baruch Spinoza, Ética"
338,Ninguém sabe o que pode o corpo.,"Baruch Spinoza, Ética"
339,A verdadeira virtude é a vida sob a direção da razão.,"Baruch Spinoza, Ética"
340,"A felicidade não é o prêmio da virtude, mas a própria virtude.","Baruch Spinoza, Ética"
341,Uma emoção não pode ser contida ou removida senão por uma emoção contrária e mais forte.,"Baruch Spinoza, Ética"
342,"O medo não pode existir sem esperança, nem a esperança sem medo.","Baruch Spinoza, Ética"
343,O arrependimento não é uma virtude; aquele que se arrepende de uma ação é duplamente miserável ou impotente.,"Baruch Spinoza, Ética"
344,O amor é a alegria acompanhada da ideia de uma causa exterior.,"Baruch Spinoza, Ética"
345,O ódio é a tristeza acompanhada da ideia de uma causa exterior.,"Baruch Spinoza, Ética"
346,"A mente humana não pode ser absolutamente destruída com o corpo, mas dela resta algo que é eterno.","Baruch Spinoza, Ética"
347,Nós sentimos e experimentamos que somos eternos.,"Baruch Spinoza, Ética"
348,Nada existe na natureza que seja contrário à sua própria natureza.,"Baruch Spinoza, Ética"
349,O orgulho é o prazer que surge da falsa opinião de que se é superior aos outros.,"Baruch Spinoza, Ética"
350,"A modéstia não é uma virtude, não surge da razão.","Baruch Spinoza, Ética"
351,"Quanto mais compreendemos as coisas individuais, mais compreendemos a Deus.","Baruch Spinoza, Ética"
352,A mente se esforça por perseverar em seu ser por uma duração indefinida.,"Baruch Spinoza, Ética"
353,Aquele que ama a Deus não pode se esforçar para que Deus o ame em retorno.,"Baruch Spinoza, Ética"
354,"A paz não é a ausência de guerra; é uma virtude, um estado de espírito, uma disposição para a benevolência, confiança, justiça.","Baruch Spinoza, Tratado Teológico-Político"
355,As coisas que acidentalmente são causas de esperança ou medo são chamadas de bons e maus presságios.,"Baruch Spinoza, Ética"
356,Agimos quando algo acontece em nós ou fora de nós de que somos a causa adequada; padecemos quando algo acontece de que somos causa parcial.,"Baruch Spinoza, Ética"
357,A impotência humana em moderar e reprimir as emoções é o que chamo de servidão.,"Baruch Spinoza, Ética"
358,"Lembre-se de que se você não priorizar sua vida, outra pessoa o fará.","Greg McKeown, Essencialismo"
359,O essencialismo não trata de como fazer mais coisas; trata de como fazer as coisas certas.,"Greg McKeown, Essencialismo"
360,"O caminho do Essencialista significa viver por design, não por padrão.","Greg McKeown, Essencialismo"
361,"Apenas quando você se der permissão para parar de tentar fazer tudo, poderá dar a sua mais alta contribuição.","Greg McKeown, Essencialismo"
362,Um não-essencialista pensa que quase tudo é essencial. Um essencialista pensa que quase tudo é não essencial.,"Greg McKeown, Essencialismo"
363,A capacidade de escolher não pode ser tirada ou mesmo dada - ela só pode ser esquecida.,"Greg McKeown, Essencialismo"
364,"Menos, mas melhor.","Greg McKeown, Essencialismo"
365,"Se não for um sim óbvio, então é um não claro.","Greg McKeown, Essencialismo"
366,"Você pode fazer qualquer coisa, mas não tudo.","Greg McKeown, Essencialismo"
367,"Em vez de fazer escolhas de forma reativa, o Essencialista distingue deliberadamente as poucas coisas vitais das muitas triviais.","Greg McKeown, Essencialismo"
368,"Para discernir o que é realmente essencial, precisamos de espaço para pensar, tempo para olhar e ouvir.","Greg McKeown, Essencialismo"
369,O melhor ativo que temos para dar uma contribuição ao mundo somos nós mesmos.,"Greg McKeown, Essencialismo"
370,Pequenas vitórias simples se acumulam ao longo do tempo em ganhos significativos.,"Greg McKeown, Essencialismo"
371,O progresso é a forma mais poderosa de motivação humana.,"Greg McKeown, Essencialismo"
372,Os essencialistas removem os obstáculos que estão no caminho do essencial.,"Greg McKeown, Essencialismo"
373,Feito é melhor que perfeito.,"Greg McKeown, Essencialismo"
374,"Qualquer decisão, desafio ou encruzilhada que enfrentar em sua vida, pergunte-se: O que é essencial? Elimine todo o resto.","Greg McKeown, Essencialismo"
375,A clareza de propósito é o que nos permite ter sucesso em nossos empreendimentos.,"Greg McKeown, Essencialismo"
376,Os essencialistas investem o tempo que economizaram na criação de um sistema para remover obstáculos.,"Greg McKeown, Essencialismo"
377,"A vida de um essencialista é uma vida de significado e propósito, não de constante ocupação.","Greg McKeown, Essencialismo"
378,Todas as coisas excelentes são tão difíceis quanto raras.,"Espinosa, Ética V"
379,"O homem livre em nada pensa menos do que na morte; e a sua sabedoria é uma meditação da vida, e não da morte.","Espinosa, Ética IV"
380,"O ódio deve ser vencido pelo amor, isto é, pela generosidade.","Espinosa, Ética IV"
381,Uma paixão deixa de ser uma paixão assim que dela formamos uma ideia clara e distinta.,"Espinosa, Ética V"
382,"O desejo que nasce da alegria é, em igualdade de circunstâncias, mais forte do que o desejo que nasce da tristeza.","Espinosa, Ética IV"
383,"Não rir, não chorar, não detestar, mas compreender.",Espinosa
384,"A felicidade não é a recompensa da virtude, mas a própria virtude.","Espinosa, Ética V"
385,"Quanto mais conhecemos as coisas particulares, tanto mais conhecemos a Deus.","Espinosa, Ética V"
386,"A mente humana, na medida em que percebe as coisas segundo o ditame da razão, é igualmente afetada pela ideia de uma coisa futura ou passada e pela ideia de uma coisa presente.","Espinosa, Ética IV"
387,O esforço pelo qual cada coisa se esforça por perseverar no seu ser não é senão a essência atual dessa coisa.,"Espinosa, Ética III"
388,Ninguém se esforça por conservar o seu ser em vista de outra coisa.,"Espinosa, Ética IV"
389,A alegria é a passagem do homem de uma menor a uma maior perfeição.,"Espinosa, Ética III"
390,A tristeza é a passagem do homem de uma maior a uma menor perfeição.,"Espinosa, Ética III"
391,Só o amor intelectual de Deus é eterno.,"Espinosa, Ética V"
392,"O homem livre, que vive entre ignorantes, esforça-se, tanto quanto pode, por evitar os seus favores.","Espinosa, Ética IV"
393,"Quanto mais uma coisa é livre, tanto menos pode ser coagida, e tanto mais se sujeita à necessidade da sua própria natureza.",Espinosa
394,"A bem-aventurança não é o prêmio da virtude, mas a própria virtude.","Espinosa, Ética V"
395,Quem se arrepende do que fez é duas vezes miserável.,"Espinosa, Ética IV"
396,"A virtude é a própria potência humana, definida só pela essência do homem.","Espinosa, Ética IV"
397,Os homens enganam-se ao pensarem-se livres; e a opinião consiste nisto: que são conscientes das suas ações e ignorantes das causas pelas quais são determinados.,"Espinosa, Ética II"
398,Não há nada de que a natureza das coisas seja mais incapaz do que de ser destruída pela causa exterior.,"Espinosa, Ética III"
399,Uma coisa livre é aquela que existe só pela necessidade da sua natureza e é determinada a agir só por si mesma.,"Espinosa, Ética I"
400,"Deus, ou a Natureza.","Espinosa, Ética IV"
401,"O conhecimento do bem e do mal não é senão o afeto da alegria ou da tristeza, na medida em que dele somos conscientes.","Espinosa, Ética IV"
402,"A esperança é uma alegria inconstante, nascida da ideia de uma coisa futura ou passada de cujo resultado duvidamos.","Espinosa, Ética III"
403,"O medo é uma tristeza inconstante, nascida da ideia de uma coisa futura ou passada de cujo resultado duvidamos.","Espinosa, Ética III"
404,"Quanto mais agimos pela razão, tanto mais somos livres.",Espinosa
405,A maior soberba é o maior temor.,"Espinosa, Ética IV"
